file-extension;ARCHE-category;name;PRONOM-ID;MIME-type;Informal-MIME-type;Magic-number;IANA-template;IANA-reference;Further-specifications;Long-term-format;ARCHE-docs;comment
asc;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;;;;;;;;;;;
bib;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;;;;;;;;;;;
cpg;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;;;;;;;;;unsure;;
csv;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;Comma-Separated Values;x-fmt/18;text/csv;;;https://www.iana.org/assignments/media-types/text/csv;RFC4180:https://tools.ietf.org/html/rfc4180 , RFC7111:https://tools.ietf.org/html/rfc7111;;yes;;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset/tabular
dbf;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;dBase database file;X-fmt/8, x-fmt/9, x-fmt/10, x-fmt/271, x-fmt/272;;application/dbase, application/x-dbase, application/x-dbf, application/dbf;;;;;no;;If pure database use another format (e.g. sql).
dbf;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;dBase database file;;application/vnd.dbf;;;https://www.iana.org/assignments/media-types/application/vnd.dbf;;https://www.esri.com/library/whitepapers/pdfs/shapefile.pdf , https://en.wikipedia.org/wiki/Shapefile;restricted;;Probably file comes in conjunction with a shapefile and is one of three mandatory files used by the shapefile data format. It is used in the specification of the Esri shapefile format with the Esri ArcInfo geographic information system, where a DBF file serves as a storage for various geometrical shape attributes Format is dBase IV.
dxf;https://vocabs.acdh.oeaw.ac.at/archecategory/image;;;;;;;;;;;
geojson;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;GeoJSON;;application/geo+json;application/vnd.geo+json;;https://www.iana.org/assignments/media-types/application/geo+json;;https://tools.ietf.org/html/rfc7946 , http://geojson.org/;yes;;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset/geojson
gfs;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;;;;;;;;;;;
gif;https://vocabs.acdh.oeaw.ac.at/archecategory/audioVisual;;;;;;;;;restricted;;
gml;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;;;;;;;;;;;
gpx;https://vocabs.acdh.oeaw.ac.at/archecategory/dataset;;;;;;;;;;;
html;https://vocabs.acdh.oeaw.ac.at/archecategory/text;;;;;;;;;;;https://vocabs.acdh.oeaw.ac.at/archecategory/text/html
jpg;https://vocabs.acdh.oeaw.ac.at/archecategory/image;;;;;;;;;restricted;;
